How hot is it today?,0
Is it hot outside?,1
Will it be uncomfortably hot?,2
Will it be sweltering?,3
How cold is it today?,1
Is it cold outside?,2
Will it be uncomfortably cold?,3
Will it be frigid?,0
What is the expected high for today?,3
What is the expected temperature?,3
Will high temperatures be dangerous?,2
Is it dangerously cold?,1
When will the heat subside?,2
Is it hot?,3
Is it cold?,0
How cold is it now?,1
Will we have a cold day today?,2
When will the cold subside?,3
What highs are we expecting?,3
What lows are we expecting?,2
Is it warm?,1
Is it chilly?,3
What's the current temp in Celsius?,0
What is the temperature in Fahrenheit?,2
Is it windy?,3
Will it rain today?,1
What are the chances for rain?,2
Will we get snow?,3
Are we expecting sunny conditions?,0
Is it overcast?,1
Will it be cloudy?,2
How much rain will fall today?,3
How much snow are we expecting?,0
Is it windy outside?,1
How much snow do we expect?,3
Is the forecast calling for snow today?,2
Will we see some sun?,2
When will the rain subside?,3
Is it cloudy?,1
Is it sunny now?,0
Will it rain?,3
Will we have much snow?,2
Are the winds dangerous?,1
What is the expected snowfall today?,0
Will it be dry?,3
Will it be breezy?,2
Will it be humid?,1
What is today's expected humidity?,0
Will the blizzard hit us?,2
Is it drizzling?,2
